from,to,prob,rate
Focused_rusher,Group_barging_through,0.3361702127659574,0.0636510128913443
Focused_rusher,Aggressive_barger,0.0191489361702127,0.0636510128913443
Focused_rusher,Stressed_pusher,0.0,0.0636510128913443
Focused_rusher,Group_in_a_panic,0.0,0.0636510128913443
Focused_rusher,Solo_sprinter,0.0212765957446808,0.0636510128913443
Focused_rusher,Watchful_runner,0.0,0.0636510128913443
Focused_rusher,Crowd_weaving_rusher,0.1297872340425531,0.0636510128913443
Focused_rusher,Alert_crowd_sprinter,0.0,0.0636510128913443
Focused_rusher,Rushing_group_dense,0.0361702127659574,0.0636510128913443
Focused_rusher,Ruthless_barger,0.002127659574468,0.0636510128913443
Focused_rusher,Desperate_rusher,0.002127659574468,0.0636510128913443
Engaged_speed_walker,Zoned_out_weaver,0.0065217391304347,0.0457410236822001
Engaged_speed_walker,Uninterrupted_speed_walker,0.0521739130434782,0.0457410236822001
Engaged_speed_walker,Alert_fast_walker_open_space,0.2847826086956522,0.0457410236822001
Engaged_speed_walker,Quiet_pair,0.0,0.0457410236822001
Engaged_speed_walker,Focused_rusher,0.1434782608695652,0.0457410236822001
Engaged_speed_walker,Engaged_speed_walker,0.0,0.0457410236822001
Engaged_speed_walker,Group_barging_through,0.2717391304347826,0.0457410236822001
Engaged_speed_walker,Aggressive_barger,0.0021739130434782,0.0457410236822001
Engaged_speed_walker,Stressed_pusher,0.0369565217391304,0.0457410236822001
Engaged_speed_walker,Group_in_a_panic,0.0,0.0457410236822001
Engaged_speed_walker,Solo_sprinter,0.0043478260869565,0.0457410236822001
Engaged_speed_walker,Watchful_runner,0.0239130434782608,0.0457410236822001
Engaged_speed_walker,Crowd_weaving_rusher,0.0130434782608695,0.0457410236822001
Engaged_speed_walker,Alert_crowd_sprinter,0.108695652173913,0.0457410236822001
Engaged_speed_walker,Rushing_group_dense,0.0108695652173913,0.0457410236822001
Engaged_speed_walker,Ruthless_barger,0.0,0.0457410236822001
Engaged_speed_walker,Desperate_rusher,0.0,0.0457410236822001
Group_barging_through,Zoned_out_weaver,0.0149253731343283,0.047591743119266
Group_barging_through,Uninterrupted_speed_walker,0.0696517412935323,0.047591743119266
Group_barging_through,Alert_fast_walker_open_space,0.0124378109452736,0.047591743119266
Group_barging_through,Quiet_pair,0.044776119402985,0.047591743119266
Group_barging_through,Focused_rusher,0.3656716417910448,0.047591743119266
Group_barging_through,Engaged_speed_walker,0.1318407960199005,0.047591743119266
Group_barging_through,Group_barging_through,0.0,0.047591743119266
Group_barging_through,Aggressive_barger,0.0074626865671641,0.047591743119266
Group_barging_through,Stressed_pusher,0.0049751243781094,0.047591743119266
Group_barging_through,Group_in_a_panic,0.0149253731343283,0.047591743119266
Group_barging_through,Solo_sprinter,0.0024875621890547,0.047591743119266
Group_barging_through,Watchful_runner,0.0024875621890547,0.047591743119266
Group_barging_through,Crowd_weaving_rusher,0.0348258706467661,0.047591743119266
Group_barging_through,Alert_crowd_sprinter,0.0149253731343283,0.047591743119266
Group_barging_through,Rushing_group_dense,0.1691542288557214,0.047591743119266
Group_barging_through,Ruthless_barger,0.0,0.047591743119266
Group_barging_through,Desperate_rusher,0.0,0.047591743119266
Aggressive_barger,Zoned_out_weaver,0.0175438596491228,0.0816831683168316
Aggressive_barger,Uninterrupted_speed_walker,0.2807017543859649,0.0816831683168316
Aggressive_barger,Alert_fast_walker_open_space,0.0,0.0816831683168316
Aggressive_barger,Quiet_pair,0.0,0.0816831683168316
Aggressive_barger,Focused_rusher,0.2982456140350877,0.0816831683168316
Aggressive_barger,Engaged_speed_walker,0.0175438596491228,0.0816831683168316
Aggressive_barger,Group_barging_through,0.0350877192982456,0.0816831683168316
Aggressive_barger,Aggressive_barger,0.0,0.0816831683168316
Aggressive_barger,Stressed_pusher,0.0,0.0816831683168316
Aggressive_barger,Group_in_a_panic,0.0,0.0816831683168316
Aggressive_barger,Solo_sprinter,0.0,0.0816831683168316
Aggressive_barger,Watchful_runner,0.0,0.0816831683168316
Aggressive_barger,Crowd_weaving_rusher,0.0526315789473684,0.0816831683168316
Aggressive_barger,Alert_crowd_sprinter,0.0,0.0816831683168316
Aggressive_barger,Rushing_group_dense,0.0175438596491228,0.0816831683168316
Aggressive_barger,Ruthless_barger,0.1403508771929824,0.0816831683168316
Aggressive_barger,Desperate_rusher,0.0,0.0816831683168316
Stressed_pusher,Zoned_out_weaver,0.015625,0.0898876404494382
Stressed_pusher,Uninterrupted_speed_walker,0.0625,0.0898876404494382
Stressed_pusher,Alert_fast_walker_open_space,0.140625,0.0898876404494382
Stressed_pusher,Quiet_pair,0.0,0.0898876404494382
Stressed_pusher,Focused_rusher,0.03125,0.0898876404494382
Stressed_pusher,Engaged_speed_walker,0.421875,0.0898876404494382
Stressed_pusher,Group_barging_through,0.03125,0.0898876404494382
Stressed_pusher,Aggressive_barger,0.125,0.0898876404494382
Stressed_pusher,Stressed_pusher,0.0,0.0898876404494382
Stressed_pusher,Group_in_a_panic,0.0,0.0898876404494382
Stressed_pusher,Solo_sprinter,0.015625,0.0898876404494382
Stressed_pusher,Watchful_runner,0.015625,0.0898876404494382
Stressed_pusher,Crowd_weaving_rusher,0.015625,0.0898876404494382
Stressed_pusher,Alert_crowd_sprinter,0.03125,0.0898876404494382
Stressed_pusher,Rushing_group_dense,0.0,0.0898876404494382
Stressed_pusher,Ruthless_barger,0.0,0.0898876404494382
Stressed_pusher,Desperate_rusher,0.03125,0.0898876404494382
Group_in_a_panic,Zoned_out_weaver,0.0837988826815642,0.0661764705882353
Group_in_a_panic,Uninterrupted_speed_walker,0.0,0.0661764705882353
Group_in_a_panic,Alert_fast_walker_open_space,0.0,0.0661764705882353
Group_in_a_panic,Quiet_pair,0.0055865921787709,0.0661764705882353
Group_in_a_panic,Focused_rusher,0.0,0.0661764705882353
Group_in_a_panic,Engaged_speed_walker,0.0055865921787709,0.0661764705882353
Group_in_a_panic,Group_barging_through,0.0167597765363128,0.0661764705882353
Group_in_a_panic,Aggressive_barger,0.0,0.0661764705882353
Group_in_a_panic,Stressed_pusher,0.0,0.0661764705882353
Group_in_a_panic,Group_in_a_panic,0.0,0.0661764705882353
Group_in_a_panic,Solo_sprinter,0.0055865921787709,0.0661764705882353
Group_in_a_panic,Watchful_runner,0.0,0.0661764705882353
Group_in_a_panic,Crowd_weaving_rusher,0.0279329608938547,0.0661764705882353
Group_in_a_panic,Alert_crowd_sprinter,0.0055865921787709,0.0661764705882353
Group_in_a_panic,Rushing_group_dense,0.0726256983240223,0.0661764705882353
Group_in_a_panic,Ruthless_barger,0.0,0.0661764705882353
Group_in_a_panic,Desperate_rusher,0.0,0.0661764705882353
Solo_sprinter,Zoned_out_weaver,0.0038535645472061,0.0334059549745824
Solo_sprinter,Uninterrupted_speed_walker,0.4951830443159923,0.0334059549745824
Solo_sprinter,Alert_fast_walker_open_space,0.0115606936416184,0.0334059549745824
Solo_sprinter,Quiet_pair,0.0038535645472061,0.0334059549745824
Solo_sprinter,Focused_rusher,0.0192678227360308,0.0334059549745824
Solo_sprinter,Engaged_speed_walker,0.0,0.0334059549745824
Solo_sprinter,Group_barging_through,0.0038535645472061,0.0334059549745824
Solo_sprinter,Aggressive_barger,0.0,0.0334059549745824
Solo_sprinter,Stressed_pusher,0.0,0.0334059549745824
Solo_sprinter,Group_in_a_panic,0.0,0.0334059549745824
Solo_sprinter,Solo_sprinter,0.0,0.0334059549745824
Solo_sprinter,Watchful_runner,0.048169556840077,0.0334059549745824
Solo_sprinter,Crowd_weaving_rusher,0.2023121387283237,0.0334059549745824
Solo_sprinter,Alert_crowd_sprinter,0.0038535645472061,0.0334059549745824
Solo_sprinter,Rushing_group_dense,0.0211946050096339,0.0334059549745824
Solo_sprinter,Ruthless_barger,0.0443159922928709,0.0334059549745824
Solo_sprinter,Desperate_rusher,0.001926782273603,0.0334059549745824
Watchful_runner,Zoned_out_weaver,0.0,0.0471971649484536
Watchful_runner,Uninterrupted_speed_walker,0.0321428571428571,0.0471971649484536
Watchful_runner,Alert_fast_walker_open_space,0.3392857142857143,0.0471971649484536
Watchful_runner,Quiet_pair,0.0071428571428571,0.0471971649484536
Watchful_runner,Focused_rusher,0.0035714285714285,0.0471971649484536
Watchful_runner,Engaged_speed_walker,0.0571428571428571,0.0471971649484536
Watchful_runner,Group_barging_through,0.0,0.0471971649484536
Watchful_runner,Aggressive_barger,0.0,0.0471971649484536
Watchful_runner,Stressed_pusher,0.0142857142857142,0.0471971649484536
Watchful_runner,Group_in_a_panic,0.0,0.0471971649484536
Watchful_runner,Solo_sprinter,0.1857142857142857,0.0471971649484536
